,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
1057,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-17,2021-10-01,2021-10-25,2021-11-03,2021-11-04,2021-11-04,48,9,4,10,4
1059,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-18,2021-08-30,2021-10-01,2021-10-08,2021-10-09,2021-10-11,54,8,2,8,0
1061,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-22,2021-09-10,2021-09-27,2021-10-02,2021-10-05,2021-10-05,44,8,6,9,4
1062,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-10-10,2021-10-10,2021-11-11,1900-01-01,2021-11-17,2021-11-17,38,10,6,10,6
1063,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-29,2021-10-02,2021-11-15,2021-11-28,2021-11-30,2021-12-01,63,9,2,10,5
1064,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-28,2021-10-02,2021-11-27,2021-12-05,2021-12-06,2021-12-07,70,9,1,10,5
1068,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-21,2021-09-27,2021-12-21,2021-12-24,2021-12-27,2021-12-29,99,9,1,9,0
1070,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-24,2021-10-09,2021-12-01,2021-12-06,2021-12-07,2021-12-09,76,9,4,10,5
1071,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-22,2021-09-23,2021-11-23,1900-01-01,2021-11-24,2021-11-24,63,9,2,9,3
1074,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-22,2021-10-09,2021-11-30,2021-12-08,2021-12-09,2021-12-13,82,9,2,10,5
1075,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-12,2021-11-12,2021-12-12,2021-12-12,2021-12-14,2021-12-14,32,11,4,11,4
1077,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-25,2021-09-30,2021-10-19,2021-10-26,2021-10-26,2021-10-29,34,9,5,9,3
1081,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-10-19,2021-10-20,2021-12-02,2021-12-02,2021-12-03,2021-12-06,48,10,1,10,2
1085,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-12,2021-09-18,2021-10-08,2021-10-13,2021-10-14,2021-10-20,38,9,6,9,5
1091,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-12,2021-09-18,2021-10-08,2021-10-13,2021-10-13,2021-10-14,32,9,6,9,5
1092,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",2021-08-01,2021-08-05,2021-09-23,2021-09-30,2021-10-04,2021-10-05,65,8,6,8,3
1093,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-24,2021-10-07,2021-10-29,2021-11-03,2021-11-04,2021-11-04,41,9,4,10,3
1095,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Long Beach, California, United States",2021-08-20,2021-08-27,2021-10-13,2021-09-20,2021-10-30,2021-11-01,73,8,4,8,4
1097,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-04,2021-10-11,2021-10-31,2021-11-06,2021-11-08,2021-11-10,37,10,0,10,0
1098,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-25,2021-09-30,2021-10-20,2021-10-26,2021-10-25,2021-10-25,30,9,5,9,3
1102,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-05,2021-10-18,2021-11-03,2021-11-10,2021-11-11,2021-11-11,37,10,1,10,0
1103,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-17,2021-10-01,2021-10-24,2021-10-30,2021-11-01,2021-11-02,46,9,4,10,4
1104,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-24,2021-10-17,2021-10-23,2021-10-25,2021-10-25,36,9,6,9,4
1110,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-05,2021-10-18,2021-11-03,2021-11-11,2021-11-11,2021-11-11,37,10,1,10,0
1112,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-10-15,2021-10-18,2021-12-10,2021-12-05,2021-12-06,2021-12-07,53,10,4,10,0
1113,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-10-12,2021-10-29,2021-11-12,2021-11-15,2021-11-17,59,9,6,10,1
1114,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-22,2021-11-20,2021-12-06,2021-12-08,2021-12-09,54,10,5,10,4
1115,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-21,2021-10-27,2021-11-15,2021-11-23,2021-11-26,2021-12-01,41,10,3,10,2
1117,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-17,2022-01-04,2022-01-11,2022-01-11,2022-01-12,31,12,6,12,4
1118,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-10-05,2021-10-06,2021-11-02,2021-11-14,2021-11-15,2021-11-15,41,10,1,10,2
1121,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-22,2021-12-04,2021-12-06,2021-12-08,2021-12-10,55,10,5,10,4
1123,"Huzhou, Zhejiang Sheng, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-12,2021-10-18,2021-11-03,2021-11-10,2021-11-11,2021-11-10,29,10,1,10,0
1125,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-04,2021-10-11,2021-11-01,2021-11-07,2021-11-08,2021-11-10,37,10,0,10,0
1127,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-21,2021-11-19,2021-12-06,2021-12-07,2021-12-08,53,10,5,10,3
1128,"Sonipat, State of Haryana, India","Sonipat, State of Haryana, India","Houston, Texas, United States","Houston, Texas, United States",2021-07-31,2021-08-07,2021-10-22,2021-10-26,2021-10-30,2021-10-28,89,7,5,8,5
1129,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-05,2021-10-10,2021-12-01,2021-12-06,2021-12-07,2021-12-08,64,10,1,10,6
1130,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-05,2021-10-10,2021-12-01,2021-12-06,2021-12-07,2021-12-07,63,10,1,10,6
1131,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-04,2021-10-11,2021-11-03,2021-11-12,2021-11-15,2021-11-15,42,10,0,10,0
1136,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",2021-08-10,2021-08-10,2021-10-24,2021-11-03,2021-11-05,2021-11-05,87,8,1,8,1
1138,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-18,2021-09-19,2021-10-27,1900-01-01,2021-11-10,2021-11-10,53,9,5,9,6
1140,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-10,2021-09-11,2021-10-28,1900-01-01,2021-11-01,2021-11-01,52,9,4,9,5
1143,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-21,2021-10-26,2021-10-31,2021-11-02,2021-11-03,45,9,6,9,1
1144,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-30,2021-10-07,2021-10-28,2021-11-03,2021-11-03,2021-11-04,35,9,3,10,3
1145,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-10-06,2021-10-07,2021-11-03,2021-11-10,2021-11-16,2021-11-15,40,10,2,10,3
1146,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-21,2021-09-23,2021-11-23,1900-01-01,2021-11-24,2021-11-24,64,9,1,9,3
1154,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-21,2021-10-27,2021-11-15,2021-11-22,2021-11-24,2021-11-30,40,10,3,10,2
1156,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-21,2021-10-27,2021-11-15,2021-11-22,2021-11-23,2021-11-24,34,10,3,10,2
1159,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-17,2021-10-25,2021-11-12,2021-11-22,2021-11-23,2021-11-24,38,10,6,10,0
1160,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-11-08,2021-11-08,2021-12-25,2021-12-26,2021-12-28,2022-01-03,56,11,0,11,0
1163,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-22,2021-12-22,2022-01-22,1900-01-01,2022-01-31,2022-02-01,41,12,2,12,2
1166,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-05,2021-11-05,2021-12-06,2021-12-11,2021-12-14,2021-12-14,39,11,4,11,4
1167,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",2021-08-10,2021-08-17,2021-10-23,2021-11-13,2021-11-15,2021-11-16,98,8,1,8,1
1168,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-10-12,2021-10-16,2021-12-01,1900-01-01,2021-12-06,2021-12-06,55,10,1,10,5
1169,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",2021-10-14,2021-10-30,2021-11-30,2021-12-15,2021-12-19,2022-01-10,88,10,3,10,5
1172,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-04,2021-10-11,2021-10-31,2021-11-11,2021-11-08,2021-11-08,35,10,0,10,0
1174,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Savannah, Georgia, United States","Dallas, Texas, United States",2021-10-25,2021-10-26,2021-12-20,2021-12-25,2021-12-28,2022-01-10,77,10,0,10,1
1175,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-26,2021-10-12,2021-10-29,2021-11-06,2021-11-08,2021-11-08,43,9,6,10,1
1178,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-24,2021-10-25,2021-12-25,2021-12-28,2021-12-30,2022-01-07,75,10,6,10,0
1184,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-10-26,2021-10-26,2022-01-02,2022-01-06,2022-01-08,2022-01-10,76,10,1,10,1
1185,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-17,2021-10-25,2021-11-12,2021-11-22,2021-11-24,2021-11-30,44,10,6,10,0
1188,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-17,2021-10-22,2021-11-19,2021-12-06,2021-12-07,2021-12-07,51,10,6,10,4
1195,"Sonipat, State of Haryana, India","Sonipat, State of Haryana, India","Houston, Texas, United States","Houston, Texas, United States",2021-08-17,2021-09-02,2021-11-13,1900-01-01,2021-11-30,2021-11-24,99,8,1,9,3
1197,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-18,2021-10-23,2021-11-19,2021-12-06,2021-12-07,2021-12-09,52,10,0,10,5
1198,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-10,2021-11-10,2021-12-05,1900-01-01,2021-12-10,2021-12-14,34,11,2,11,2
1200,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-17,2021-10-25,2021-11-12,2021-11-20,2021-11-23,2021-11-30,44,10,6,10,0
1201,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-21,2021-10-27,2021-11-14,2021-11-25,2021-11-29,2021-11-30,40,10,3,10,2
1204,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-13,2021-10-16,2021-12-02,2021-12-07,2021-12-08,2021-12-08,56,10,2,10,5
1207,"Di An, Tinh Binh Duong, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-28,2021-09-03,2021-11-01,2021-11-05,2021-11-06,2021-11-10,74,8,5,9,4
1209,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-23,2021-12-30,2022-02-10,1900-01-01,2022-02-18,2022-02-18,57,12,3,12,3
1210,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-26,2021-10-29,2021-12-21,2021-12-27,2021-12-29,2022-01-05,71,10,1,10,4
1211,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-10-28,2021-12-21,2021-12-28,2021-12-29,2022-01-07,74,10,0,10,3
1214,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-24,2021-10-29,2021-12-21,2021-12-28,2021-12-30,2022-01-06,74,10,6,10,4
1215,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-03,2021-08-11,2021-09-12,1900-01-01,2021-09-21,2021-09-22,50,8,1,8,2
1216,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-23,2021-10-27,2021-12-21,2022-01-02,2022-01-03,2022-01-07,76,10,5,10,2
1217,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-07,2021-11-17,2021-12-10,2021-12-18,2021-12-17,2021-12-17,40,11,6,11,2
1218,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-28,2021-10-29,2022-01-05,2022-01-09,2022-01-13,2022-01-17,81,10,3,10,4
1220,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-08,2021-09-13,2021-11-01,2021-11-06,2021-11-08,2021-11-10,63,9,2,9,0
1227,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-19,2021-11-23,2021-12-11,2021-12-20,2021-12-21,2021-12-30,41,11,4,11,1
1230,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-11-01,2021-12-21,2022-01-01,2022-01-03,2022-01-10,77,10,0,11,0
1231,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-08,2021-09-12,2021-11-01,2021-11-06,2021-11-08,2021-11-11,64,9,2,9,6
1234,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-10-29,2021-11-12,2021-11-20,2021-11-24,2021-11-30,36,10,0,10,4
1235,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-29,2021-10-29,2021-11-18,2021-11-29,2021-11-30,2021-12-01,33,10,4,10,4
1239,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-21,2021-11-19,2021-12-06,2021-12-07,2021-12-09,54,10,5,10,3
1242,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-16,2021-12-19,2022-02-11,1900-01-01,2022-02-15,2022-02-17,63,12,3,12,6
1244,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-18,2021-11-19,2022-02-09,2022-02-10,2022-02-10,2022-02-14,88,11,3,11,4
1247,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-10-28,2021-10-29,2021-12-13,2021-12-13,2021-12-15,2021-12-15,48,10,3,10,4
1248,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-01,2021-11-01,2021-12-11,2021-12-20,2021-12-21,2021-12-23,52,11,0,11,0
1250,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-10-26,2021-10-26,2022-01-02,2022-01-06,2022-01-10,2022-01-12,78,10,1,10,1
1251,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-23,2021-10-26,2021-12-21,2021-12-28,2021-12-30,2022-01-10,79,10,5,10,1
1253,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-01,2021-11-01,2021-11-30,1900-01-01,2021-12-03,2021-12-03,32,11,0,11,0
1257,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-10-25,2021-12-28,2022-01-04,2022-01-05,2022-01-10,77,10,0,10,0
1258,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-12-15,2021-12-16,2022-02-07,1900-01-01,2022-02-09,2022-02-15,62,12,2,12,3
1263,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-07,2021-12-13,2022-01-31,2022-02-06,2022-02-07,2022-02-08,63,12,1,12,0
1266,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-15,2021-11-19,2021-12-31,2022-01-07,2022-01-07,2022-01-12,58,11,0,11,4
1268,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-12,2021-11-26,2021-12-01,2021-12-08,2021-12-09,30,11,1,11,4
1270,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-17,2021-11-18,2022-02-12,2022-02-13,2022-02-12,2022-02-17,92,11,2,11,3
1272,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-10,2021-12-16,2022-01-23,1900-01-01,2022-01-25,2022-01-26,47,12,4,12,3
1273,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-13,2021-11-13,2022-02-09,2022-02-10,2022-02-10,2022-02-14,93,11,5,11,5
1274,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-18,2021-11-19,2022-02-12,2022-02-13,2022-02-12,2022-02-17,91,11,3,11,4
1275,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-26,2021-12-02,2022-01-08,1900-01-01,2022-01-13,2022-01-13,48,11,4,12,3
1279,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-15,2022-01-08,2022-01-13,2022-01-14,2022-01-18,70,11,1,11,0
1281,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-12,2021-11-26,2021-12-01,2021-12-08,2021-12-09,30,11,1,11,4
1285,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-05,2022-01-18,2022-01-24,2022-01-26,2022-01-28,64,11,3,12,6
1286,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-22,2021-12-22,2022-01-21,1900-01-01,2022-01-31,2022-02-02,42,12,2,12,2
1289,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-05,2021-12-10,2022-01-04,2022-01-11,2022-01-11,2022-01-13,39,12,6,12,4
1290,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-13,2021-11-13,2021-12-12,2021-12-12,2021-12-14,2021-12-15,32,11,5,11,5
1292,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-28,2021-12-02,2022-01-12,1900-01-01,2022-01-17,2022-01-18,51,11,6,12,3
1296,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-04,2021-12-08,2022-01-17,1900-01-01,2022-01-21,2022-01-24,51,12,5,12,2
1297,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-16,2021-12-22,2022-01-30,1900-01-01,2022-02-10,2022-02-11,57,12,3,12,2
1309,"Shanghai Hongqiao International, Shanghai Shi, China","Shanghai Hongqiao International, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-14,2021-10-16,2021-12-14,2021-12-18,2021-12-21,2021-12-23,70,10,3,10,5
1310,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-11-06,2021-11-06,2021-12-20,2021-12-26,2021-12-30,2022-01-05,60,11,5,11,5
1311,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-01,2022-01-18,2022-01-24,2022-01-26,2022-01-28,64,11,3,12,2
1315,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-18,2021-11-19,2022-02-09,2022-02-10,2022-02-10,2022-02-14,88,11,3,11,4
1318,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-02,2022-01-17,2022-01-23,2022-01-24,2022-01-25,61,11,3,12,3
